# brandId	brandName
ent_246464	Pony_数码
ent_246005	大宝
ent_140618	法迪
ent_245946	忆思源
ent_058840	十万大山
ent_103876	零拾铺子
ent_113445	科立方
ent_011729	雅客
ent_150752	分寸
ent_072146	保黛宝
ent_053946	与美
ent_152200	学厨
ent_152186	卡琳娜
ent_193828	澳柯玛
ent_233964	雅洁
ent_130785	莱梅德
ent_129124	伟峰
ent_126947	嘉特
ent_103711	厨王
ent_194799	初弎
ent_239694	光希
ent_082562	马克华菲
ent_013609	E路驰
ent_030238	九阳
ent_214092	佳宝
ent_101796	港荣
ent_240942	厨之健_家电
ent_054066	九道湾
ent_119487	利其尔
ent_128236	德玛仕_厨房电器
ent_166544	唐巢
ent_123768	佳能
ent_058563	林家铺子
ent_074271	弘可
ent_223309	舒适
ent_082634	芝麻
ent_044792	凯儿得乐
ent_181705	古驰
ent_040245	三元
ent_037624	依恋
ent_160558	纤麦
ent_241365	希格
ent_018002	堡狮龙
ent_072452	口水族
ent_206535	家宝风
ent_165103	首彩
ent_050951	邦克仕
ent_187294	马大姐
ent_128021	顺发功夫
ent_048797	明之选
ent_172111	蜗牛队长
ent_217570	森美尚
ent_098531	薏凡特
ent_018319	英雄
ent_024190	裕丰鼎能
ent_003156	日洲
ent_188894	康贝
ent_231094	壮元海
ent_165279	三梵
ent_027739	药圣堂
ent_015935	曼妮芬
ent_084158	容声
ent_207817	金鸽
ent_159335	飞羽
ent_162660	麻莎
ent_228212	德辉
ent_190329	康宁餐具
ent_168182	安踏
ent_091193	家顺
ent_210811	金龙鱼
ent_131446	乐健儿
ent_058297	棉马
ent_055327	开古
ent_117986	果园老农
ent_215156	洛神
ent_212746	太平鸟
ent_186045	元田树
ent_093505	西班
ent_041683	黄胜记
ent_109813	金灶
ent_236013	厨甄
ent_077733	卡宾
ent_067494	暴走的萝莉
ent_175157	汤姆农场
ent_221327	大老粗
ent_051924	清清美
ent_125710	剑南春
ent_121899	华美
ent_001018	四海
ent_040049	爱煮
ent_170142	双雄
ent_084620	杰璞斯
ent_010459	迪士尼
ent_107357	一品李
ent_147663	老恒和
ent_206579	花瓣
ent_030283	家居
ent_013426	春光
ent_110672	梦特娇
ent_157282	天猫精灵
ent_202285	安蜜尔
ent_068298	科洋
ent_128715	纽斯
ent_000436	雪佳
ent_098887	雷翼
ent_245867	百诺
ent_145439	凯德氏
ent_058597	开普特
ent_201512	尊尼威龙
ent_126099	焕龙
ent_242764	可扬
ent_145024	高秀
ent_038298	双飞燕
ent_043008	小鸭牌
ent_116614	托瓦
ent_012496	韩彩
ent_011083	若谷草堂
ent_024168	祈发
ent_221778	纳莱科斯
ent_061628	宇美乐
ent_027160	林德曼
ent_200061	小鱼儿
ent_057258	睿嫣润膏
ent_074238	富罗迷
ent_074307	希杰
ent_104798	泉利堂
ent_098705	安妮
ent_049977	奔富
ent_179991	罗莱
ent_111854	君焙
ent_028199	加减乘除
ent_231427	九鲤湖
ent_024905	安琪
ent_168606	昆仑
ent_003085	海绵宝宝
ent_027577	十月结晶
ent_153848	张口爱
ent_048724	茗振
ent_183905	品能
ent_129179	舟水联
ent_102794	比奇
ent_185929	蓝图
ent_127241	智神
ent_076422	莱克
ent_178870	班德拉斯
ent_192202	好迪精华素
ent_012945	斯凯奇
ent_021972	华润
ent_065183	蜂蜜
ent_076321	柠檬
ent_217989	欧凡
ent_013848	思笔乐
ent_197982	德庄
ent_135222	玛璐托
ent_064474	航飞
ent_156809	感恋_食品
ent_219911	橘子
ent_215958	男女
ent_062714	尤搏思
ent_228812	寻桃
ent_064277	莱克斯顿
ent_168900	金麦
ent_030462	得力
ent_220382	悠莱
ent_040366	一加
ent_011337	胡萝卜
ent_143717	多彩
ent_210658	永兴
ent_178617	匡威
ent_030346	五和
ent_131965	婷美
ent_008510	佑天兰
ent_094000	托斯卡纳
ent_114354	三菱
ent_130282	同仁堂
ent_136475	东北
ent_151376	木马人
ent_079941	亚克西
ent_131398	爱国者
ent_118883	老汤_清洁工具
ent_185002	豆腐
ent_065644	三少
ent_155005	威克多
ent_093828	露兰姬娜
ent_150287	超人
ent_200431	摩尼菲格
ent_220581	麦趣丰
ent_112087	罗斯福
ent_235734	超佰味
ent_029912	喵在岛
ent_130382	星派
ent_162059	墨点
ent_129551	乐天
ent_017108	星鲜季
ent_212712	小梅屋
ent_058429	蜜语
ent_091976	匠龙
ent_026511	西门子
ent_109685	韩海妈妈
ent_139497	小鸭圣吉奥
ent_054330	袋鼠妈妈
ent_184839	好益点
ent_051544	旋转木马
ent_148409	可丽金
ent_241328	基本生活
ent_080720	长虹
ent_102284	百花
ent_098360	柒牌
ent_179653	百雀羚
ent_085143	米老头
ent_033710	艾仕玛
ent_174506	墨锦
ent_218843	加德士
ent_137902	70迈
ent_032839	新农哥
ent_223737	张二嘎
ent_231136	海特
ent_243495	喜屋
ent_155549	爱马仕
ent_156321	小怪兽_生活电器
ent_186546	黑羚
ent_213539	基诺德
ent_021575	米乐熊
ent_194654	璐久
ent_002444	奥迪双钻
ent_059529	清净园
ent_217006	摩杰仕
ent_147347	黄则和
ent_208219	嘉味村
ent_001478	潜水艇
ent_180679	品高
ent_188200	一壳一颗
ent_166639	座上客
ent_057715	北京联合出版有限责任公司
ent_044774	佰草汇
ent_130532	童记三利和
ent_077384	华升黑豹
ent_144244	妙洁
ent_015818	瑞光
ent_191302	小天使
ent_205405	皓强
ent_082803	巴里企鹅
ent_104303	言茶
ent_032691	利仁
ent_232086	半山农
ent_247349	功夫小鸭
ent_211935	月骑
ent_078338	啵乐乐
ent_204387	宝视达
ent_011731	青岛啤酒
ent_170319	养方堂
ent_055864	米兰炫
ent_114273	豪姿
ent_073193	可比克
ent_099103	爱多
ent_135829	懒角落
ent_042322	MONDIAL_电器
ent_149187	彩伶彩俐
ent_036579	初纺
ent_126212	茅台
ent_057690	金丰味
ent_014461	联合通
ent_240075	珠江桥
ent_080989	科颜氏
ent_049615	白茶
ent_075640	南国
ent_224140	同享
ent_145046	康汇百年
ent_228429	洁丽雅
ent_039939	库恩玛维
ent_042071	永成
ent_117750	辣妹子
ent_111596	霍尼韦尔
ent_040781	刺猬阿甘
ent_008431	新鲜生活
ent_034452	瑞可德林
ent_223078	五贝子
ent_150194	晓岚村
ent_127456	大玛
ent_087171	施耐德
ent_154185	蒸烩煮
ent_207611	江中
ent_012602	科顺
ent_112773	充电
ent_059101	燕京
ent_063118	郁美净
ent_115789	以诺
ent_066739	台绣
ent_040827	盛为
ent_041967	雅芳
ent_045685	畅享
ent_082303	全棉时代
ent_000409	李维斯
ent_096651	一元堂
ent_024226	鑫食
ent_082133	山村风物
ent_202519	丝路·源
ent_097373	极星
ent_074416	史密斯
ent_068045	心魅
ent_206393	叁肆钢
ent_188669	捷森
ent_056699	佳乐
ent_104328	正士作
ent_236910	华歌尔
ent_164513	伯乐尝
ent_209827	宝宝金水
ent_032330	铁朗
ent_024894	快乐旺哥
ent_184428	其他
ent_059135	昊厨
ent_191841	方太
ent_046685	十八社
ent_219389	百洋
ent_049465	智看
ent_017341	金奥力
ent_079191	全南
ent_114716	三星
ent_056876	荣欣堂
ent_228169	乐徒
ent_045331	滚石
ent_086501	恒都
ent_020671	红星
ent_132153	潘帕斯
ent_021314	英吉利居家
ent_100810	雪佛龙
ent_218197	铁板
ent_083563	振兴
ent_066781	希佳_电器
ent_221770	圈厨
ent_122812	雪印
ent_172756	花花公子
ent_083752	自然堂
ent_071830	班杰威尔
ent_158627	森松尼
ent_068011	嘉士伯
ent_218476	米皇
ent_036890	凤凰
ent_031136	狮威特
ent_108007	南孚
ent_027171	方广
ent_035011	炫舞飞扬
ent_096406	田园主义
ent_099807	法儿曼
ent_103168	敦威
ent_232163	A1_食品
ent_021695	啄木鸟
ent_096844	欧曼
ent_132892	彪马
ent_054182	漫步者
ent_029553	鬼塚虎
ent_063925	赛亿
ent_219622	惠人
ent_056241	顶圣
ent_026515	梦蔻
ent_215718	依利达
ent_098434	健力宝
ent_137088	车厘子
ent_224639	美联
ent_022821	茯苓
ent_208118	黔五福
ent_128852	尚派
ent_103101	特步
ent_032437	亲亲购
ent_052363	暇步士
ent_201696	海蒂诗
ent_152113	韩电
ent_059920	星巴克
ent_047562	牛啤堂
ent_232645	睿米
ent_061786	艾芭莎
ent_009263	逗童熊
ent_132983	每伴
ent_093023	小松鼠
ent_065689	朵拉朵尚
ent_144182	正是
ent_163450	雄发
ent_196598	肆月
ent_156928	海地村
ent_210828	叶原坊
ent_062380	蝴蝶结
ent_211266	能臣
ent_111137	香草森林
ent_116125	金河田
ent_000790	好万行
ent_227917	水星家纺婚庆馆
ent_151526	华为
ent_247122	苏泊尔
ent_228975	热水
ent_165983	李宁
ent_134055	川香傲
ent_155742	雅格
ent_241912	格力
ent_001623	水溶
ent_144962	阿道夫
ent_228457	皮偌乔
ent_035622	奥利奥
ent_088527	昂台
ent_184302	又壹点
ent_047879	大嘴猴
ent_159959	竹天帛
ent_188975	骥洋
ent_134079	爆米花
ent_185966	山诺
ent_104549	猎鹰计划
ent_062194	米图宝贝
ent_121672	大哥
ent_059633	银祥
ent_240381	北极绒
ent_209613	日清
ent_001373	奥妙
ent_116353	呼兰河
ent_170383	九猪
ent_227937	森骄
ent_140189	他她
ent_221320	味好美
ent_016055	齐心
ent_230577	晨光
ent_068479	即墨
ent_103717	御食园
ent_151632	华夏万卷
ent_204351	好孩子
ent_220247	怡达
ent_220238	爱途仕
ent_032488	华成
ent_054358	小熊
ent_085388	宝丽
ent_114589	鱼化石
ent_164084	又壹点
ent_078284	高跟_73小时
ent_106016	老中医
ent_206479	匡威
ent_042993	红蜻蜓
ent_198426	巧大娘
ent_058481	泰瑞
ent_180610	亚麻
ent_140900	清香园
ent_076318	埃莉诗
ent_212798	舟达
ent_065141	桂花
ent_154682	菲妮尔
ent_112296	傲洋优品
ent_021871	霏慕
ent_138751	碧柔
ent_218309	爱国者
ent_053770	小艾
ent_104414	希诺
ent_160656	多加
ent_234864	多芬
ent_145788	速朗
ent_212739	若翼族
ent_022448	乐视
ent_186966	孩之宝
ent_061315	米微乐游
ent_011264	人民邮电出版社
ent_153007	盐津铺子
ent_086552	天和永润
ent_001993	祁连牧歌
ent_019413	云蕾
ent_069566	张小泉
ent_204839	飞天
ent_005268	雷迪凯
ent_041702	胶原蛋白
ent_191429	知味客
ent_082110	爱生活
ent_222837	美晨乐
ent_126796	兄弟牌
ent_059837	爱妻
ent_022547	蜀腊记
ent_087172	其他品牌
ent_228050	深海
ent_061863	金珍
ent_109600	熊猫
ent_129625	平野
ent_096361	楼兰蜜语
ent_156043	索尼
ent_217430	学而思
ent_001896	达娜依谷溪
ent_060927	开心猫
ent_074066	悦见
ent_136050	小马宝莉
ent_116068	诺希
ent_213649	淘豆
ent_234277	朗琴
ent_112669	小脚鸭
ent_043210	潘祥记
ent_061977	乐邦_吸油烟机
ent_135006	秀魅
ent_225830	冇心
ent_107568	太祖
ent_111312	楼龙
ent_096357	合立
ent_148110	千鸟
ent_113275	百里花海
ent_228623	宣辰
ent_057793	雅美娜
ent_068449	采媚
ent_202469	北极星
ent_081645	伊酷达
ent_045483	五月树
ent_121272	浙诚
ent_104556	多格漫
ent_061157	永日
ent_081395	米多奇
ent_181858	三枪
ent_162634	铂玺
ent_225756	超级飞侠
ent_024882	匡迪
ent_201406	全球站
ent_206572	亲豆
ent_072933	三胖蛋
ent_192089	永日
ent_222308	时尚生活
ent_173925	海玉
ent_225524	拾光
ent_149600	马应龙
ent_174143	维诺健
ent_098680	小猪班纳
ent_021367	乐活宝
ent_042019	陌妲
ent_143365	梵忆轩
ent_003114	星际熊
ent_219603	先锋
ent_133478	小熊
ent_124635	乔家栅
ent_025457	宜帛诚
ent_191398	长江文艺
ent_001734	微软
ent_137189	喜传天下
ent_037578	博世
ent_242876	福元
ent_019318	宝贝
ent_222398	青援
ent_239957	张裕
ent_123406	惠普
ent_219839	大松
ent_030874	北京稻香村
ent_089493	森米
ent_149837	亨氏
ent_006430	煜杭
ent_234307	清水
ent_070019	咚咚
ent_099872	威士
ent_111806	复古
ent_009921	康亨
ent_171422	远甜
ent_187005	五谷磨房
ent_076890	聚影
ent_126284	沃伦卡
ent_231737	垂度
ent_059676	阔_食品
ent_234099	茜茜熊_食品
ent_223761	纯色
ent_046057	金五缘
ent_187744	名士
ent_086128	菲内克斯
ent_217604	罗罗
ent_137239	红纹
ent_026322	华生
ent_243695	聚家
ent_132646	今磨房
ent_122494	三宝
ent_100540	科尔沁
ent_004007	尼康
ent_114207	松永
ent_176889	安奈儿
ent_243327	荣事达
ent_069312	惠而浦
ent_123175	恒兴恒
ent_052292	巧虎
ent_106360	劳特斯
ent_042597	爱沃可
ent_066697	宾度
ent_152574	海尔
ent_156618	福喜八公
ent_043636	自由兵
ent_179016	奥迪
ent_164980	喜之焙
ent_070271	徐福记
ent_199902	菜花香
ent_119719	神象
ent_075332	珠江啤酒
ent_057722	润本
ent_132452	弗伦斯堡
ent_023985	泰迪熊
ent_105643	达利园
ent_069244	艾维诺_生活电器
ent_153844	哥伦比亚
ent_029356	利口福
ent_034160	未行
ent_112800	日光岩
ent_113919	回力
ent_081174	家乐
ent_158964	海德
ent_139978	韩滋
ent_210712	三角牌
ent_128658	全球通
ent_128403	菲都狄都
ent_169825	品胜
ent_135872	七匹狼
ent_161541	味诚品
ent_197153	快鹿
ent_156769	仁仔
ent_102133	锐豹
ent_184564	沙皇
ent_246680	莱思丽
ent_006760	奥利弗
ent_069424	相伴一生
ent_006324	力迪
ent_217340	音磅
ent_218365	阿诗丹顿
ent_037757	梅赛思
ent_202717	真彩
ent_070780	伯乐马
ent_014075	思牧
ent_098886	光明_家具
ent_083172	采芝斋
ent_134521	小九
ent_054874	植护
ent_076143	跪乳羊
ent_179089	澳贝
ent_222169	沙宣
ent_247850	OTHERS_彩妆
ent_174702	沙棘
ent_191944	玉兰香
ent_057343	御顺堂
ent_020342	万吉
ent_129175	伊帕尔汗
ent_018767	托马斯＆朋友
ent_232517	广仁
ent_148010	百家味
ent_176604	诗迪娜
ent_130961	冠生园
ent_195564	优耳
ent_140500	国誉
ent_219551	金纺
ent_000732	上珍果
ent_246159	顺顺德德
ent_157243	艾惟诺
ent_167063	方舟_电器
ent_145359	樱花_家电
ent_149678	巴布豆
ent_046782	浙一家
ent_097525	格男仕
ent_026941	妮飘
ent_100284	杜康
ent_029560	艾德克布莱克斯
ent_127336	自然醒
ent_168346	九天
ent_066689	东古
ent_064593	塞翁福
ent_181033	快乐吃货
ent_167478	粮安天下
ent_047430	嘉韵
ent_136740	阿威托
ent_085179	小明星
ent_139955	和翔
ent_249307	驰虹
ent_106124	大洋世家
ent_148944	康宝
ent_068732	茶花
ent_076895	贝特如
ent_021984	苏诺
ent_117694	茂林
ent_044950	鲜怡
ent_086248	傻厨
ent_247779	步云
ent_017941	巨门
ent_174965	菲诗小铺
ent_227936	莹玉
ent_006571	梵希蔓
ent_237912	蜂花
ent_030594	满婷
ent_049246	万家乐
ent_010142	威泽
ent_009550	笛雀儿
ent_233085	狮王
ent_060862	科凌
ent_002288	亿丽佳
ent_193793	茵曼
ent_058222	东洋之花
ent_069499	恒顺
ent_207781	木恒
ent_100601	和平_美国
ent_225060	沣瑞元
ent_095179	海王
ent_100613	卓诗尼
ent_242330	傲家
ent_121491	鹭浪
ent_183962	塔虎
ent_098646	由利
ent_135068	水密码
ent_121379	茵宝
ent_120800	卡拉贝熊
ent_235247	惠威
ent_202497	口力
ent_114009	南极人
ent_013177	富硒
ent_000155	云南白药
ent_189961	金莱克
ent_200775	一贝皇城
ent_092022	范思哲
ent_107036	靡丝妮
ent_093354	贺斯达
ent_095725	贯池
ent_082192	童泰
ent_236345	欧贝斯
ent_046989	闪电潮牌
ent_209247	克拉古斯
ent_009549	鸟与花家
ent_025127	梦佳居
ent_231582	魔莉舍
ent_026928	金语
ent_185998	喜力_家电
ent_094087	伯爵卓尔
ent_235380	伊高
ent_005028	泌彩流纱
ent_097519	薛涛
ent_025102	悦诗风吟
ent_149810	竹岛
ent_194971	神话_肉制品
ent_058875	澄果
ent_139742	百草味
ent_029526	佐道
ent_116401	真珠美学
ent_168306	火烈鸟
ent_220681	特别特
ent_173236	逸炫
ent_025399	贝丽
ent_100878	惠佳乐
ent_034302	农夫山庄
ent_176612	柯丽雅
ent_187917	中联
ent_174925	巧媳妇
ent_162693	Alee_电器
ent_097720	品彩
ent_119002	思宏
ent_082517	来伊份
ent_017079	澳利亚
ent_204849	博视乐
ent_032627	步步高
ent_167775	安井
ent_198356	塔牌
ent_181205	幸运小筑
ent_134741	西凤
ent_132198	黄老五
ent_114225	吉列
ent_233571	喜碧
ent_164208	太古
ent_109736	普拉姆
ent_054350	铂典
ent_033085	得胜
ent_122150	爱之舟_枕套
ent_136438	优凡文具
ent_149996	誉海
ent_243630	鲔哥
ent_208684	世界名著
ent_213069	文艺
ent_192342	奉友
ent_021644	喜力
ent_186968	心相印
ent_068936	米思蒂
ent_107452	爱润妍
ent_128519	ALS_灯饰
ent_029003	冰鲜
ent_091585	公牛
ent_053248	蕾迪丝
ent_239968	三草两木
ent_243965	飚声
ent_009105	潮牌
ent_158441	迪奥
ent_068906	依斯妮雅
ent_166695	千佳益
ent_232602	大卫
ent_026571	伊利
ent_204812	莫瑞
ent_123128	琴岛
ent_097005	皇家
ent_141405	章鸭子
ent_084146	奥普
ent_238377	亿觅。
ent_008060	小井家
ent_000596	正官庄
ent_238499	晶麦风
ent_043476	闪魔
ent_110396	劲家庄
ent_244897	吃茶去
ent_195050	敏杨
ent_090962	巧克力
ent_183982	小天鹅
ent_238803	富光
ent_063825	冠希
ent_239301	赛恋
ent_228621	亮典
ent_014661	新宝堂
ent_078362	贝奥
ent_030562	雷慧
ent_028972	摩奥
ent_152197	崂世家
ent_030333	上品鲜
ent_009400	万里足
ent_162722	辉煌
ent_196139	展艺
ent_217860	万佳_家电
ent_045793	北海道_日本
ent_092788	哥文花园
ent_090910	全聚德
ent_020628	芭比
ent_230101	歌瑞家
ent_176539	秋官郎
ent_049185	国丰
ent_167585	众望
ent_107797	富丹
ent_208724	一帆
ent_148717	红瓦房
ent_234557	平海_食品
ent_142470	想念
