# commodityCategoryId	commodityCategoryName
ent_171199	绞肉机
ent_039287	东北松子
ent_203634	桑椹干
ent_035234	裹胸
ent_104723	老爷车
ent_030165	工程车
ent_036917	越野车
ent_202630	浴袍
ent_093050	辣椒酱
ent_236396	霜
ent_190057	电吹风
ent_051361	警车
ent_022298	消防车
ent_188057	羊蝎子
ent_106588	棉袜
ent_008952	气垫粉底
ent_113338	烘烤类糕点
ent_123902	乳液
ent_126822	开心果
ent_079851	祛斑类
ent_186618	常规绞肉机
ent_174253	临安小核桃仁
ent_215992	保湿爽肤水
ent_020756	童针织衫
ent_142255	面膜帖
ent_038914	摩托车
ent_089760	爽肤水
ent_010753	唇膜
ent_167336	染发类
ent_190881	录音笔
ent_203882	勺
ent_231441	香酥红薯片
ent_108024	口红
ent_049383	护臀膏
ent_130902	气垫BB
ent_243658	三脚架
ent_077480	农家红薯干
ent_156868	非瓦接摇触皮肤的纺织产品
ent_246086	粉底棒
ent_185134	化妆品
ent_190153	直接接触皮肤的纺织产品
ent_114473	蓝莓酥
ent_163885	空气烤箱
ent_208444	拖车
ent_231187	鱼肝油
ent_096847	气垫霜
ent_005163	普通
ent_111028	常规烤箱
ent_135526	打底袜
ent_027928	礼品
ent_017362	辅食机
ent_066830	唇膏口红
ent_158625	脱毛产品/驱蚊产品
ent_058416	蜜钱(果
ent_159960	刀
ent_081347	葵花子油
ent_128879	保湿水
ent_114763	奢养修护精华BB霜
ent_231933	烤紫菜
ent_170852	黄桃干
ent_131381	普通类
ent_098262	保湿乳
ent_090758	玫瑰花
ent_186448	洁肤皂
ent_069120	育发类
ent_239521	核桃
ent_009273	鸭胗
ent_057917	足膜
ent_025940	童卫衣
ent_082253	洁面乳
ent_186190	肠
ent_063773	高清摄像头
ent_010577	鸡肉零食
ent_148487	保湿乳液
ent_064301	核桃仁
ent_220311	玉米
ent_050384	纯露
ent_236411	开口榛子
ent_028608	童毛衣
ent_084699	饭盒
ent_045366	媚卡摩卡金盏菊BB霜、粉底液
ent_120386	豆腐乳
ent_071292	小背心
ent_149910	卸妆油
ent_074363	BB霜
ent_191199	哑光
ent_124722	调味紫菜
ent_222493	儿童袜
ent_175928	睡裙
ent_205831	气垫
ent_019945	口红唇膏
ent_212776	瘾诱魅惑超模口红655#
ent_118059	茉莉花
ent_232489	沙拉酱
ent_044861	香肠制品
ent_189392	台式双面镜
ent_212539	不支持视频
ent_116209	卸妆啫喱
ent_134186	润体乳
ent_116537	彩妆
ent_151838	哑光/珠光
ent_095072	身体乳
ent_158963	红薯干
ent_018160	除臭类
ent_178506	蜜饯
ent_227132	桑葚干
ent_144384	眼线笔
ent_196853	璀璨浓密睫睫毛膏
ent_191618	运动水壶
ent_149070	连裤袜
ent_113551	柔肤水
ent_008059	插电式手持按摩捶
ent_192483	化妆水/爽肤水
ent_160415	干红葡萄酒
ent_027096	白胡椒粉
ent_226389	彩虹短袖T恤
ent_093489	幼儿启蒙
ent_247029	手剥山核桃
ent_128525	喷雾
ent_232216	面部精华
ent_233648	BB 霜
ent_061001	纤长型
ent_010147	火锅
ent_160576	番薯
ent_104185	精华水
ent_047777	手剥松子
ent_220779	汽车
ent_137537	车用凉席
ent_027567	止汗喷雾
ent_136530	蒸汽烤箱
ent_217668	俏俏贴
ent_023287	胸针
ent_187361	身体喷雾
ent_185454	金盏菊BB霜樱花BB霜
ent_166595	眼部护理套装
ent_195216	化妆水
ent_158598	水槽置物架
ent_180492	通用型
ent_152361	颈膜
ent_209302	肩带
ent_019336	玻璃杯
ent_116952	睡袍
ent_064447	吊车
ent_049113	护发素
ent_063685	面包车
ent_229083	束腹带
ent_119450	巴旦木
ent_141819	其它化妆水/爽肤水
ent_038776	隐形袜
ent_029644	蓝莓干
ent_188849	童衬衫
ent_073601	直接接触皮肤的坊织产品
ent_148338	冷水壶
ent_042829	眼影
ent_060675	卡车
ent_153416	个人洗漱/清洁/护理
ent_109824	电蒸锅
ent_233797	芝麻红薯片
ent_009386	披萨
ent_233586	婴幼儿用品
ent_243946	吸入式灭蚊器
ent_161303	啫喱
ent_019401	领带
ent_182621	其它
ent_056616	果脯
ent_155762	洗发帽
ent_029462	贴片式
ent_130935	电击灭蚊灯
ent_216352	旋转拖把
ent_158382	跑车
ent_158891	CC霜
ent_023403	对开门冰
ent_014272	保鲜碗
ent_058925	非直接接触皮肤的纺织产品
ent_151191	防晒类
ent_189663	卸妆水/液
ent_166512	搭扣
ent_120214	bb霜,气垫bb霜,蘑菇气垫霜,粉底液,气垫
ent_158125	防晒喷雾
ent_158105	天鹅短袖T恤
ent_153701	独脚架
ent_127196	护手霜
ent_155028	空气净化器
ent_124676	滋养微整气垫DD霜
ent_014283	草莓干
ent_064483	单方精油,精油
ent_177186	护肤水
ent_002180	果干
ent_064172	农家地瓜干
ent_022708	巴士
ent_081045	电暖器
ent_243048	扁桃仁/巴旦木
ent_050485	红薯片
ent_046010	养生壶
ent_017312	靴子
ent_066046	甜面酱
ent_037761	童套装